hhid,round,comment,offtakeevent,s6q36a,s6q36b,s6q37,s6q38,s6q38b,s6q38c,s6q38d,s6q39,s6q40,s6q41,s6q41b,s6q41b16,s6q42,s6q42_r6,s6q43,s6q43b,s6q43c,s6q43d
2009,7,,1,2020,June,Goat,Gave as gifts,,,,2,,School fees/sick child/other consumption,,,,,,,,2
2010,2,,1,2009,December,Goat/Sheep,Sold,,,,1,0,Pay debt,,,Within the sub-location,,1800,,,
2010,2,,2,2010,February,Cattle,Sold,,,,1,1,Pay debt,,,Within the sub-location,,3600,,,
2010,5,0,1,2013,September,Goat/Sheep,Sold,,,,1,1,Weak/poor performance,,,Within the sub-location,,,3500,Yes,
2011,1,,2,2009,July,Cattle,Sold,,,,1,1,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,5000,,,
2011,1,,3,2009,September,Goat/Sheep,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,1000,,,
2011,1,,1,2009,May,Cattle,Sold,,,,1,0,School fees/sick child/other consumption,,,Within the location,,3000,,,
2011,2,,2,2010,March,Cattle,Sold,,,,2,1,Spread risks of loss,,,Within the district,,18250,,,
2011,2,,3,2010,August,Cattle,Gave as gifts,,,,1,0,Cultural reasons/dowry,,,Within the location,,15000,,,
2011,2,,1,2009,November,Goat/Sheep,Loaned,,,,2,1,Other (specify),Herding,,Within the location,,1500,,,
2011,6,0,1,2014,October,Cattle,Sold,,,,2,2,School fees/sick child/other consumption,,,,Large livestock market (e.g Marsabit and Merille),,40000,Yes,
2012,2,,1,2010,May,Cattle,Sold,,,,1,0,For regular cash/income,,,Within the location,,18000,,,
2012,4,0,2,2012,January,Goat/Sheep,Sold,,,,1,1,For regular cash/income,,,Within the district,,,3500,Yes,
2012,4,0,1,2011,November,Cattle,Sold,,,,2,1,For regular cash/income,,,Within the district,,,18000,Yes,
2013,1,,1,2009,May,Goat/Sheep,Sold,,,,5,1,Other (specify),BUY PLOT,,Within the location,,1500,,,
2013,3,0,2,2011,July,Goat/Sheep,Sold,,,,2,2,Coping with drought (need money to buy food/necessities duing drought),,,Within the district,,,5900,Yes,
2013,3,0,4,2011,September,Goat/Sheep,Sold,,,,1,1,Coping with drought (need money to buy food/necessities duing drought),,,Within the district,,,2400,Yes,
2013,3,0,1,2011,April,Goat/Sheep,Sold,,,,2,2,Coping with drought (need money to buy food/necessities duing drought),,,Within the district,,,4000,Yes,
2013,3,0,3,2011,August,Goat/Sheep,Sold,,,,1,1,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,,1700,Yes,
2013,5,0,1,2013,February,Goat/Sheep,Gave as gifts,,,,1,1,Help others in bad times,,,Within the sub-location,,,4000,Yes,
2015,7,,2,2020,September,Goat,Sold,,,,3,,For regular cash/income,,,,,1666.666626,5000,,3
