hhid,round,conflict_yn,conflict_why_1,conflict_why_2,conflict_why_3,conflict_why_4,conflict_why_5,conflict_why_6,conflict_why_7,conflict_why_97,conflict_why_other,conflict_impact_yn,conflict_impact_how_1,conflict_impact_how_2,conflict_impact_how_3,conflict_impact_how_4,conflict_impact_how_5,conflict_impact_how_6,conflict_impact_how_7,conflict_impact_how_8,conflict_impact_how_9,conflict_impact_how_10,conflict_impact_how_97,conflict_impact_how_other,conflict_community_impact_1,conflict_community_impact_2,conflict_community_impact_3,conflict_community_impact_4,conflict_community_impact_5,conflict_community_impact_6,conflict_community_impact_97,conflict_community_impact_other
2099,7,Yes,No,No,No,No,Yes,No,No,No,,No,,,,,,,,,,,,,Yes,Yes,No,No,No,No,No,
2100,7,Yes,No,No,No,No,Yes,No,No,No,,No,,,,,,,,,,,,,Yes,Yes,No,No,No,No,No,
2102,7,Yes,No,No,No,No,Yes,No,No,No,,Yes,No,No,No,No,No,Yes,No,No,No,No,No,,Yes,No,No,Yes,No,No,No,
2103,7,Yes,No,No,No,No,Yes,No,No,No,,No,,,,,,,,,,,,,Yes,Yes,No,No,No,No,No,
2106,7,Yes,No,No,No,No,Yes,No,No,No,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,,Yes,No,No,No,No,No,No,
2110,7,Yes,No,No,No,No,Yes,No,No,No,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,No,No,
2111,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2112,7,Yes,No,No,No,No,Yes,No,No,No,,No,,,,,,,,,,,,,No,Yes,No,No,No,No,No,
2114,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2126,7,Yes,No,No,No,No,Yes,No,No,No,,No,,,,,,,,,,,,,Yes,Yes,No,No,Yes,No,No,
3001,7,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Politicians,Yes,No,No,No,No,No,No,No,No,No,No,Yes,"Loss of jobs ,no food",Yes,Yes,Yes,No,Yes,No,No,
3002,7,Yes,No,No,No,No,Yes,No,No,No,,No,,,,,,,,,,,,,No,Yes,No,No,No,No,No,
3003,7,Yes,No,No,No,No,No,No,Yes,No,,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,,Yes,Yes,Yes,Yes,Yes,Yes,No,
3006,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3007,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3008,7,Yes,Yes,No,Yes,No,No,No,Yes,No,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,Yes,No,No,No,No,No,
3009,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3010,7,Yes,Yes,No,Yes,Yes,Yes,No,No,No,,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,,Yes,Yes,No,No,No,No,No,
3011,7,Yes,Yes,No,No,No,Yes,No,No,No,,No,,,,,,,,,,,,,No,No,No,No,No,No,Yes,it mostly affected people from other villages
3013,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3015,7,Yes,Yes,No,Yes,Yes,Yes,No,No,No,,No,,,,,,,,,,,,,Yes,No,No,No,No,No,No,
3016,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3018,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3020,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3021,7,Yes,No,No,Yes,Yes,No,No,No,No,,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,No,No,No,
3022,7,Yes,Yes,No,No,No,Yes,No,Yes,No,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,No,No,No,
3023,7,Yes,No,No,No,No,Yes,Yes,No,No,,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,,Yes,No,No,Yes,No,No,No,
3024,7,Yes,No,No,No,No,Yes,No,No,No,,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,,Yes,Yes,No,No,No,No,No,
3026,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3027,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3028,7,Yes,No,No,No,No,Yes,No,No,No,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,,Yes,Yes,Yes,Yes,No,No,No,
3029,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3031,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3033,7,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3034,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3035,7,Yes,No,No,No,No,Yes,No,No,No,,No,,,,,,,,,,,,,Yes,No,No,No,No,No,No,
3041,7,Yes,No,No,No,No,Yes,No,No,No,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,No,No,
4001,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4002,7,Yes,No,No,No,No,Yes,No,No,No,,No,,,,,,,,,,,,,Yes,Yes,No,No,No,No,No,
4004,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4005,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4007,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4009,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4010,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4011,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4013,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4014,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4019,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4020,7,Yes,Yes,No,No,No,No,No,No,No,,No,,,,,,,,,,,,,No,Yes,No,No,No,No,No,
4021,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4022,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4023,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4025,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4026,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4027,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4028,7,Yes,No,No,No,No,Yes,No,No,No,,Yes,No,No,No,No,No,No,No,No,No,No,Yes,He was injured during that attack,No,No,No,Yes,No,No,No,
4029,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4030,7,Yes,No,No,No,No,Yes,No,No,No,,Yes,No,No,No,No,Yes,No,No,No,No,No,No,,Yes,No,No,Yes,No,No,No,
4031,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4032,7,Yes,No,No,No,No,Yes,No,No,No,,No,,,,,,,,,,,,,No,No,Yes,No,No,No,No,
4033,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4034,7,Yes,No,No,Yes,Yes,Yes,No,No,No,,Yes,No,No,No,No,No,Yes,No,No,No,No,No,,Yes,No,No,Yes,No,No,No,
4035,7,Yes,No,No,No,No,Yes,No,No,No,,No,,,,,,,,,,,,,Yes,Yes,No,No,No,No,No,
4037,7,Yes,No,No,No,No,Yes,No,No,No,,No,,,,,,,,,,,,,No,No,No,Yes,No,No,No,
4038,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4039,7,Yes,No,No,No,No,Yes,No,No,No,,No,,,,,,,,,,,,,No,Yes,No,No,No,No,No,
4040,7,Yes,No,No,No,No,Yes,No,No,No,,No,,,,,,,,,,,,,Yes,No,No,No,No,No,Yes,Houses burnt down
4041,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4043,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4044,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4045,7,Yes,Yes,No,No,No,No,No,No,Yes,LAND,No,,,,,,,,,,,,,Yes,No,No,No,No,No,Yes,Psychological stress to many families
4047,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4048,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4050,7,Yes,No,No,No,No,No,No,No,Yes,Land,No,,,,,,,,,,,,,Yes,Yes,No,No,No,No,No,
4051,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4052,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4053,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4054,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4055,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4057,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4058,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4059,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4060,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4063,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4064,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4066,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4068,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4070,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4071,7,Yes,No,No,No,No,Yes,No,No,No,,No,,,,,,,,,,,,,Yes,No,No,No,No,No,No,
4073,7,Yes,No,No,No,No,Yes,No,No,No,,No,,,,,,,,,,,,,No,No,Yes,No,No,No,No,
4074,7,Yes,No,No,Yes,Yes,Yes,No,No,No,,No,,,,,,,,,,,,,Yes,No,No,No,Yes,No,No,
4075,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4076,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4078,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4079,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4082,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4084,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4086,7,Yes,No,No,No,No,Yes,No,No,No,,No,,,,,,,,,,,,,No,Yes,No,No,No,No,No,
4087,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4089,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
