hhid,round,comment,animaltype,s13q1,s13q2
1031,5,0,Dog,0,0
1031,6,0,Donkey/Ass/mule,2,2
1031,6,0,poultry,0,0
1031,6,0,Cat,1,1
1031,6,0,Dog,0,0
1032,1,,Donkey/Ass/mule,0,0
1032,1,,poultry,0,0
1032,2,,Donkey/Ass/mule,1,1
1032,2,,Cat,1,1
1032,2,,poultry,0,0
1032,2,,Dog,1,1
1032,3,0,Cat,0,0
1032,3,0,Dog,0,0
1032,3,0,Donkey/Ass/mule,0,0
1032,3,0,poultry,0,0
1032,4,0,Cat,0,0
1032,4,0,Dog,0,0
1032,4,0,poultry,0,0
1032,4,0,Donkey/Ass/mule,1,1
1032,5,0,poultry,0,0
1032,5,0,Donkey/Ass/mule,0,0
1032,5,0,Cat,1,1
1032,5,0,Dog,0,0
1032,6,0,Cat,0,0
1032,6,0,Dog,0,0
1032,6,0,Donkey/Ass/mule,0,0
1032,6,0,poultry,0,0
1033,1,,Donkey/Ass/mule,1,0
1033,1,,poultry,0,0
1033,2,,Dog,0,0
1033,2,,poultry,2,2
1033,2,,Donkey/Ass/mule,2,2
1033,2,,Cat,3,3
1033,3,0,Dog,0,0
1033,3,0,Donkey/Ass/mule,1,1
1033,3,0,poultry,0,0
1033,3,0,Cat,1,1
1033,4,0,Dog,0,0
1033,4,0,Cat,0,0
1033,4,0,Donkey/Ass/mule,0,0
1033,4,0,poultry,0,0
1033,5,0,Donkey/Ass/mule,2,2
1033,5,0,poultry,10,10
1033,5,0,Dog,0,0
1033,5,0,Cat,1,1
1033,6,0,Dog,0,0
1033,6,0,Cat,0,0
1033,6,0,Donkey/Ass/mule,0,0
1033,6,0,poultry,10,10
1034,1,,poultry,4,4
1034,1,,Donkey/Ass/mule,1,1
1034,2,,Dog,2,2
1034,2,,Donkey/Ass/mule,1,1
1034,2,,poultry,5,5
1034,2,,Cat,1,1
1034,3,0,poultry,6,6
1034,3,0,Donkey/Ass/mule,1,0
1034,3,0,Cat,0,0
1034,3,0,Dog,0,0
1034,4,0,Donkey/Ass/mule,2,2
1034,4,0,Cat,0,0
1034,4,0,Dog,0,0
1034,4,0,poultry,0,0
1034,5,0,Dog,0,0
1034,5,0,Cat,1,1
1034,5,0,Donkey/Ass/mule,1,1
1034,5,0,poultry,8,8
1034,6,0,Cat,1,1
1034,6,0,poultry,2,2
1034,6,0,Dog,0,0
1034,6,0,Donkey/Ass/mule,0,0
1035,1,,Donkey/Ass/mule,2,2
1035,1,,poultry,0,0
1035,2,,Cat,1,1
1035,2,,Donkey/Ass/mule,2,2
1035,2,,poultry,0,0
1035,2,,Dog,0,0
1035,3,0,Dog,0,0
1035,3,0,Cat,0,0
1035,3,0,Donkey/Ass/mule,0,0
1035,3,0,poultry,0,0
1035,4,0,Dog,0,0
1035,4,0,Cat,2,2
1035,4,0,poultry,0,0
1035,4,0,Donkey/Ass/mule,0,0
1035,5,0,Dog,0,0
1035,5,0,poultry,0,0
1035,5,0,Donkey/Ass/mule,0,0
1035,5,0,Cat,1,1
1035,6,0,Cat,0,0
1035,6,0,Donkey/Ass/mule,0,0
1035,6,0,poultry,0,0
1035,6,0,Dog,0,0
1036,1,,poultry,1,1
1036,1,,Donkey/Ass/mule,2,2
1036,2,,poultry,5,5
1036,2,,Donkey/Ass/mule,2,2
1036,2,,Dog,0,0
1036,2,,Cat,1,1
1036,3,0,Dog,0,0
1036,3,0,Donkey/Ass/mule,0,0
1036,3,0,Cat,0,0
1036,3,0,poultry,3,3
1036,4,0,poultry,2,2
1036,4,0,Donkey/Ass/mule,2,2
1036,4,0,Dog,0,0
1036,4,0,Cat,1,1
