hhid,round,comment,s13q3,s13q4,s13q5a,s13q5b,s13q5c,s13q5d,s13q6a,s13q6b,s13q6c,s13q6d,s13q7a,s13q7b,s13q7c,s13q7d,s13q8a,s13q8b,s13q8c,s13q8d
2011,6,0,yes,,0,,1,Hectare,0,,.25,Hectare,,,,,,,,
2012,1,,yes,No,.b,.b,1,Acre,.b,.b,1,Acre,,,1,Acre,,,1,Acre
2012,2,,yes,,0,,1,Acre,0,,1,Acre,,,,,,,,
2012,3,0,yes,,0,,1,Hectare,1,Square meter,0,,,,,,,,,
2012,4,0,yes,,0,,2,Acre,0,,1.5,Acre,,,,,,,,
2012,5,0,yes,,0,,1,Hectare,0,,5,Boi,,,,,,,,
2012,6,0,yes,,0,,3,Acre,0,,3,Acre,,,,,,,,
2013,1,,yes,No,.b,.b,1,Acre,.b,.b,1,Acre,,,2,Acre,,,2,Acre
2013,2,,No,,0,,0,,0,,.5,Hectare,,,,,,,,
2013,3,0,No,,0,,0,,0,,1,Acre,,,,,,,,
2013,4,0,yes,,0,,1,Acre,0,,0,,,,,,,,,
2013,5,0,yes,,0,,0,,0,,5,Boi,,,,,,,,
2013,6,0,No,,,,,,,,,,,,,,,,,
2014,1,,No,No,,,,,,,,,,,,,,,,
2015,1,,No,yes,,,,,,,1,Acre,,,1,Acre,,,1,Acre
2015,2,,yes,,0,,0,,0,,4,Acre,,,,,,,,
2015,3,0,yes,,0,,0,,0,,3,Acre,,,,,,,,
2015,4,0,yes,,.25,Acre,1,Acre,0,,1,Acre,,,,,,,,
2015,5,0,No,,,,,,,,,,,,,,,,,
2015,6,0,yes,,0,,20,Acre,0,,0,,,,,,,,,
2016,1,,yes,No,.b,.b,2,Acre,.b,.b,2,Acre,,,2,Acre,,,2,Acre
2016,2,,yes,,0,,7,Hectare,0,,2,Hectare,,,,,,,,
2016,3,0,yes,,0,,2,Acre,0,,2,Acre,,,,,,,,
2016,4,0,yes,,0,,1,Acre,0,,1,Acre,,,,,,,,
