hhid,round,comment,Loan_ID,s14q60a,s14q60,s14q60b,s14q61,s14q61b,s14q61c,s14q79,s14q81,s14q81b,s14q82,s14q62,s14q62_r2,s14q66,s14q65c,s14q66a,s14q66_r23,s14q64,s14q65a,s14q65b,s14q67,s14q68a,s14q68b,s14q69,s14q70,s14q70b,s14q92,s14q92b,s14q93,s14q94,s14q80,s14q91
11054,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
11054,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
11055,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
11055,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
11055,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
11055,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
11055,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
11055,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12001,2,,1,,Private (family/friend etc.),,,,,,,,,,.a,400,,,400,No,2,,No,,,200,Food,,,,,,,
12001,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12001,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12001,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12001,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12001,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12001,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12002,2,,.b,,.b,,,,,,,,,,.b,.b,,,.b,.b,.b,.b,.b,.b,.b,.b,.b,,,,,,,
12002,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12002,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12002,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12002,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12002,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12002,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12003,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12003,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12003,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12003,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12003,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12003,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12004,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12004,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12004,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12004,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12004,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12004,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12005,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12005,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12005,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12005,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12005,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12005,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12006,2,,1,,Private (family/friend etc.),,,,,,,,,,7,4000,,,4000,No,,,No,,,4000,Food,,,,,,,
12006,2,,11,,,,Food,,Yes,,,,,,7,4000,,,4000,No,,,No,,,4000,,,,,,,,
12006,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12006,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12006,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12006,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12006,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12007,2,,1,,Private (family/friend etc.),,,,,,,,,,4,2000,,,2000,No,,,No,.a,.a,.a,Other (specify),,,,,,,
12007,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12007,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12007,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12007,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12007,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12007,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12008,2,,.b,,.b,,,,,,,,,,.b,.b,,,.b,.b,.b,.b,.b,.b,.b,.b,.b,,,,,,,
12008,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12008,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12008,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12008,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12008,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12008,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12009,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12009,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12009,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12009,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12009,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12009,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12010,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12010,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12010,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12010,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12010,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12010,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12011,2,,1,,Private (family/friend etc.),,,,,,,,,,9,1000,,,1000,No,,,No,,,1000,Food,,,,,,,
12011,2,,11,,,,Food,,Yes,,,,,,9,1000,,,1000,No,,,No,,,1000,,,,,,,,
12011,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12011,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12011,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12011,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12011,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12015,2,,1,,Trader,,,,,,,,,,.a,400,,,400,No,,,No,,,400,Food,,,,,,,
12015,2,,11,,,,Food,,Yes,,,,,,.a,400,,,400,No,,,No,,,400,,,,,,,,
12015,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12015,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12015,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12015,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12015,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12016,2,,1,,Trader,,,,,,,,,,3,800,,,800,No,,,No,,,600,Food,,,,,,,
12016,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12016,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12016,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12016,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12016,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12016,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12017,2,,1,,Private (family/friend etc.),,,,,,,,,,3,1000,,,2000,No,,,No,,,1000,Food,,,,,,,
12017,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12017,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12017,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12017,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12017,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12017,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12018,2,,1,,Private (family/friend etc.),,,,,,,,,,9,1000,,,1000,No,,,No,,,1000,Food,,,,,,,
12018,2,,11,,,,Food,,Yes,,,,,,9,1000,,,1000,No,,,No,,,1000,,,,,,,,
12018,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12018,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12018,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12018,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12018,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12019,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12019,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12019,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12019,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12019,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12019,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12020,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12020,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12020,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12020,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12020,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12020,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12021,2,,1,,Trader,,,,,,,,,,7,7000,,,7000,Yes,11,2010,No,,,7000,Food,,,,,,,
12021,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12021,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12021,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12021,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12021,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12021,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12022,2,,1,,Trader,,,,,,,,,,7,600,,,600,No,,,No,,,0,Food,,,,,,,
12022,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12022,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12022,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12022,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12022,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12022,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12023,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12023,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12023,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12023,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12023,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12023,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12024,2,,1,,Private (family/friend etc.),,,,,,,,,,11,1000,,,1000,No,,,No,,,1000,Food,,,,,,,
12024,2,,11,,,,Food,,Yes,,,,,,8,200,,,200,No,,,No,,,50,,,,,,,,
12024,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12024,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12024,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12024,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12024,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12025,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12025,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12025,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12025,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12025,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12025,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12026,2,,1,,Private (family/friend etc.),,,,,,,,,,6,2000,,,2000,No,,,No,,,0,Food,,,,,,,
12026,2,,11,,,,Food,,Yes,,,,,,9,220,,,220,No,,,No,,,0,,,,,,,,
12026,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12026,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12026,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12026,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12026,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12027,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12027,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12027,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12027,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12027,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12027,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12028,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12028,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12028,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12028,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12028,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12028,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12029,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12029,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12029,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12029,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12029,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12029,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12030,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12030,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12030,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12030,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12030,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12030,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12031,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12031,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12031,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12031,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12031,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12031,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12032,2,,1,,Private (family/friend etc.),,,,,,,,,,4,1000,,,1000,No,11,2010,No,,,1000,Food,,,,,,,
12032,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12032,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12032,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12032,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12032,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12032,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12033,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12033,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12033,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12033,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12033,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12033,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12034,2,,1,,Private (family/friend etc.),,,,,,,,,,6,1000,,,1000,Yes,12,.b,No,,,1000,Food,,,,,,,
12034,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12034,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12034,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12034,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12034,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12034,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12035,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12035,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12035,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12035,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12035,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12035,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12036,2,,1,,Trader,,,,,,,,,,6,800,,,800,No,,,No,,,0,Food,,,,,,,
12036,2,,11,,,,Food,,Yes,,,,,,10,300,,,300,No,,,No,,,0,,,,,,,,
12036,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12036,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12036,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12036,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12036,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12037,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12037,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12037,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12037,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12037,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12037,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12040,2,,.b,,.b,,,,,,,,,,.b,.b,,,.b,.b,.b,.b,.b,.b,.b,.b,.b,,,,,,,
12040,2,,11,,,,Food,,Yes,,,,,,8,2000,,,2000,No,,,No,,,0,,,,,,,,
12040,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12040,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12040,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12040,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12040,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12043,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12043,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12043,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12043,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12043,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12043,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12044,2,,1,,Private (family/friend etc.),,,,,,,,,,6,600,,,600,No,,,No,,,600,Food,,,,,,,
12044,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12044,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12044,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12044,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12044,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
12044,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
13001,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
13001,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
13001,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
13001,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
13001,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
13001,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
13002,2,,1,,Private (family/friend etc.),,,,,,,,,,5,1000,,,1000,No,,,No,,,0,Food,,,,,,,
13002,2,,11,,,,Food,,Yes,,,,,,9,1000,,,1000,No,,,No,,,0,,,,,,,,
13002,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
13002,2,,13,,,,Livestock,,Yes,,,,,,9,2300,,,2300,No,,,No,,,2300,,,,,,,,
13002,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
13002,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
13002,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
13003,2,,1,,Private (family/friend etc.),,,,,,,,,,6,1500,,,1500,Yes,7,2010,No,,,500,Food,,,,,,,
13003,2,,2,,Private (family/friend etc.),,,,,,,,,,7,500,,,500,Yes,9,2010,No,,,0,Food,,,,,,,
13003,2,,11,,,,Food,,Yes,,,,,,8,900,,,900,Yes,10,2010,No,,,900,,,,,,,,
13003,2,,12,,,,Household durables and supplies,,Yes,,,,,,8,550,,,550,Yes,10,2010,No,,,550,,,,,,,,
13003,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
13003,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
13003,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
13003,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
13004,2,,1,,Private (family/friend etc.),,,,,,,,,,1,5000,,,5000,Yes,2,.b,No,,,2000,Food,,,,,,,
13004,2,,11,,,,Food,,Yes,,,,,,.b,.b,,,.b,.b,.b,.b,.b,.b,.b,.b,,,,,,,,
13004,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
13004,2,,13,,,,Livestock,,Yes,,,,,,12,4000,,,4000,No,,,No,,,4000,,,,,,,,
13004,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
13004,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
13004,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
13005,2,,1,,Private (family/friend etc.),,,,,,,,,,6,4000,,,4000,Yes,3,2011,No,,,2000,Social obligations,,,,,,,
13005,2,,11,,,,Food,,Yes,,,,,,.b,.b,,,.b,.b,.b,.b,.b,.b,.b,.b,,,,,,,,
13005,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
13005,2,,13,,,,Livestock,,Yes,,,,,,7,4000,,,4000,Yes,7,2013,No,,,2000,,,,,,,,
13005,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
13005,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
13005,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
13006,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
13006,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
13006,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
13006,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
13006,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
13006,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
