hhid,round,gps_latitude,gps_longitude
2023,5,2.5,38.099998
2023,7,2.5,38.099998
2023,7,2.5,38.099998
2023,7,2.5,38.099998
2023,7,2.5,38.099998
2023,7,2.5,38.099998
2023,7,2.5,38.099998
2023,7,2.3,38.099998
2024,1,2.3,38.099998
2024,2,2.3,38.099998
2024,3,2.3,38.099998
2024,5,2.3,38.099998
2024,7,2.3,38.099998
2024,7,2.3,38.099998
2024,7,2.3,38.099998
2024,7,2.3,38.099998
2024,7,2.3,38.099998
2024,7,2.3,38.099998
2024,7,2.3,38.099998
2025,1,2.5,38.099998
2025,2,2.5,38.099998
2025,3,2.5,38.099998
2025,5,2.5,38.099998
2025,7,2.5,38.099998
2025,7,2.5,38.099998
2025,7,2.5,38.099998
2025,7,2.5,38.099998
2025,7,2.5,38.099998
2025,7,2.5,38.099998
2025,7,2.3,38.099998
2026,1,2.4000001,38.299999
2026,2,2.4000001,38.299999
2026,3,2.4000001,38.299999
2026,5,2.4000001,38.299999
2026,7,2.4000001,38.299999
2026,7,2.4000001,38.299999
2026,7,2.4000001,38.299999
2026,7,2.4000001,38.299999
2026,7,2.4000001,38.299999
2026,7,2.4000001,38.299999
2026,7,2.3,38.099998
2027,1,2.4000001,38.299999
2027,2,2.4000001,38.299999
2027,3,2.4000001,38.299999
2027,5,2.4000001,38.299999
2027,7,2.4000001,38.299999
2027,7,2.4000001,38.299999
2027,7,2.4000001,38.299999
2027,7,2.4000001,38.299999
2027,7,2.4000001,38.299999
