hhid,round,comment,LSID,LSID_other,s14q74,s14q70_r6,s14q70b_r6,s14q74a,s14q66_r6,s14q66a_r6,s14q66b_r6,s14q75,s14q76,s14q77,s14q78,s14q78b
1013,3,0,CARE group saving<br> and lending (GSL),,No,,,,,,,,,,Not qualified to apply from this source/no collateral,
1013,3,0,"Other Informal saving <br>schemes (e.g., merry <br>go rounds)",,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1014,3,0,Bank,,Yes,,,,,,,1,1,"Yes,BUT interest rate and fee are too high",,
1014,3,0,MFI/FSA,,Yes,,,,,,,1,1,"Yes,BUT interest rate and fee are too high",,
1014,3,0,SACCO/Cooperatives,,No,,,,,,,,,,We don't need any loan,
1014,3,0,Money lenders,,No,,,,,,,,,,We don't need any loan,
1014,3,0,Family/friends,,No,,,,,,,,,,We don't need any loan,
1014,3,0,CARE group saving<br> and lending (GSL),,No,,,,,,,,,,We don't need any loan,
1014,3,0,"Other Informal saving <br>schemes (e.g., merry <br>go rounds)",,No,,,,,,,,,,We don't need any loan,
1014,6,0,Bank,,No,,,,,,,,,,,
1014,6,0,MFI/FSA,,No,,,,,,,,,,,
1014,6,0,SACCO/Cooperatives,,Yes,Education costs,,Yes,20000,Yes,24000,,,,,
1014,6,0,Money lenders,,No,,,,,,,,,,,
1014,6,0,Family/friends,,No,,,,,,,,,,,
1014,6,0,CARE group saving<br> and lending (GSL),,No,,,,,,,,,,,
1014,6,0,"Other Informal saving <br>schemes (e.g., merry <br>go rounds)",,No,,,,,,,,,,,
1014,6,0,Other (specify),,No,,,,,,,,,,,
1015,3,0,Bank,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1015,3,0,MFI/FSA,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1015,3,0,SACCO/Cooperatives,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1015,3,0,Money lenders,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1015,3,0,Family/friends,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1015,3,0,CARE group saving<br> and lending (GSL),,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
